[2025-03-07 22:42:52] Lancement du pipeline complet.
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\0.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\0.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\0.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\0.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\0.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\1.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\1.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\1.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\1.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\1.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\1.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\2.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\2.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\2.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\2.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\2.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\2.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\3.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\3.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\3.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\3.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\3.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\3.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\4.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\4.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\4.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\4.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\4.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\4.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\5.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\5.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\5.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\5.png
[2025-03-07 22:42:53] Image manquante : D:\projects\sailor-vision-ai\data/images/train\5.png
