epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1545.78,1.12637,0.95214,0.88663,0.77787,0.71337,0.73741,0.41302,1.44906,0.88776,1.03689,0.000416422,0.000416422,0.000416422
1,1962.08,1.12637,0.95214,0.88663,0.77787,0.71337,0.73741,0.41302,1.44906,0.88776,1.03689,0.000416422,0.000416422,0.000416422
1,1595.67,1.12637,0.95214,0.88663,0.77787,0.71337,0.73741,0.41302,1.44906,0.88776,1.03689,0.000416422,0.000416422,0.000416422
2,3066.56,0.95904,0.52062,0.86178,0.78667,0.70068,0.72433,0.41054,1.45495,0.85663,1.05773,0.000791851,0.000791851,0.000791851
3,4966.63,0.90476,0.47391,0.85242,0.79528,0.66641,0.7099,0.41578,1.44019,0.98639,1.09185,0.00112603,0.00112603,0.00112603
4,6614.74,0.86289,0.44873,0.84591,0.70826,0.62267,0.62465,0.36471,1.50392,1.19112,1.1465,0.00106437,0.00106437,0.00106437
5,8375.28,0.82298,0.42335,0.83857,0.76893,0.6609,0.70287,0.39375,1.50014,0.9049,1.10621,0.0010025,0.0010025,0.0010025
6,10129.1,0.79283,0.40725,0.83403,0.80134,0.68468,0.74357,0.43513,1.40213,0.79384,1.10632,0.000940625,0.000940625,0.000940625
7,11910.7,0.76596,0.39484,0.82964,0.81666,0.70257,0.76356,0.45534,1.38531,0.79055,1.12023,0.00087875,0.00087875,0.00087875
8,14005.3,0.74548,0.38206,0.82559,0.81421,0.68174,0.74021,0.43299,1.39024,0.81436,1.12172,0.000816875,0.000816875,0.000816875
9,15670.8,0.72351,0.37258,0.82242,0.80126,0.68706,0.74186,0.4386,1.41809,0.79353,1.11999,0.000755,0.000755,0.000755
10,17381.4,0.70917,0.36279,0.82024,0.83407,0.68456,0.75686,0.45459,1.3787,0.78613,1.10367,0.000693125,0.000693125,0.000693125
11,19356.7,0.70168,0.35948,0.81435,0.81103,0.6809,0.74726,0.4496,1.4024,0.91347,1.15911,0.00063125,0.00063125,0.00063125
12,21053,0.67654,0.34677,0.81157,0.82692,0.69705,0.75829,0.45284,1.39998,0.82956,1.11167,0.000569375,0.000569375,0.000569375
13,22937.3,0.65574,0.33584,0.80724,0.81623,0.70559,0.76804,0.45903,1.40373,0.81589,1.13485,0.0005075,0.0005075,0.0005075
14,24772.5,0.63817,0.32687,0.80417,0.79929,0.72233,0.77016,0.46443,1.39746,0.80849,1.14174,0.000445625,0.000445625,0.000445625
15,26785.9,0.62029,0.31745,0.80221,0.82721,0.69363,0.76104,0.45256,1.41055,0.84881,1.15553,0.00038375,0.00038375,0.00038375
16,28815.7,0.605,0.30942,0.80019,0.82404,0.69411,0.76307,0.46,1.39333,0.84887,1.13587,0.000321875,0.000321875,0.000321875
17,30739.4,0.58854,0.30027,0.79743,0.83104,0.69208,0.76412,0.45953,1.40479,0.84073,1.14237,0.00026,0.00026,0.00026
18,32728.7,0.5735,0.29225,0.79559,0.82368,0.69393,0.76289,0.46331,1.38544,0.84216,1.13488,0.000198125,0.000198125,0.000198125
19,34855.2,0.56016,0.28482,0.79419,0.8243,0.68986,0.76007,0.46027,1.39282,0.94485,1.14656,0.00013625,0.00013625,0.00013625
20,36787.3,0.54467,0.27751,0.79182,0.82713,0.68845,0.75885,0.46019,1.39951,0.9329,1.15512,7.4375e-05,7.4375e-05,7.4375e-05
